title,price,rating,image,description,url
"realme narzo 60X 5G（Stellar Green,6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",,4.1,https://m.media-amazon.com/images/I/41tSQSq1xJL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/realme-5G%EF%BC%88Stellar-External-Segments-Supervooc/dp/B0CGDQRR9Y/ref=sr_1_30?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779216&sprefix=smartphone%2Caps%2C300&sr=8-30
"realme narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",,4.1,https://m.media-amazon.com/images/I/41LR8VAZD2L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/realme-5G%EF%BC%88Nebula-External-Segments-Supervooc/dp/B0CGDNJX9X/ref=sr_1_31?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779216&sprefix=smartphone%2Caps%2C300&sr=8-31
"POCO C51 (Power Black, 6GB RAM, 128GB Storage)",,3.5,https://m.media-amazon.com/images/I/411gAS3nuIL._SX300_SY300_QL70_ML2_.jpg,"Processor: Powerful MediaTek G36 octa-core CPU ; clocked at up to 2.2 GHz | 11GB of RAM including 5GB virtual | Android 13 Go Edition| 6.52"" large HD+ Scratch Resistant Display | 8MP AI Dual camera |Rear fingerprint | 5000mAh Battery",https://www.amazon.in/POCO-Power-Black-128GB-Storage/dp/B0CKJ3XLLM/ref=sr_1_32?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779216&sprefix=smartphone%2Caps%2C300&sr=8-32
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue",,4.2,https://m.media-amazon.com/images/I/4141XHdxv1L._SX300_SY300_QL70_ML2_.jpg,,https://aax-eu.amazon.in/x/c/RJCsvZPn1z8Y2RugHcvdeUoAAAGNY_gK_wMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDQdJhN/https://www.amazon.in/Smartphone-Storage-5000mAh-Battery-Charging/dp/B0CQ7Z7JCH/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3%3Aamzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&crid=3PSD4Z9BPQ0TE&cv_ct_cx=smartphones&keywords=smartphones&pd_rd_i=B0CQ7Z7JCH&pd_rd_r=51049ed0-e401-47eb-92bd-bd1bf905a924&pd_rd_w=QoYoG&pd_rd_wg=q93zM&pf_rd_p=b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&pf_rd_r=0MKCFXV55TA8CNSWH9W6&qid=1706779216&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=smartphone%2Caps%2C300&sr=1-17-ad43fbe4-6f9c-4603-ab45-acb189caa93f
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)",,4.1,https://m.media-amazon.com/images/I/41NOKPCVM7L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/OnePlus-Nord-Chromatic-256GB-Storage/dp/B0BY8L3RZ6/ref=sr_1_17?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779270&sprefix=smartphone%2Caps%2C300&sr=8-17
"Redmi Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever",,3.1,https://m.media-amazon.com/images/I/41ZlnmlOM-L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Redmi-Arctic-Storage-Dimensity-Slimmest/dp/B0CQPDGYLD/ref=sr_1_18?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779270&sprefix=smartphone%2Caps%2C300&sr=8-18
"POCO C55 (Forest Green, 6GB RAM, 128GB Storage)",,4.0,https://m.media-amazon.com/images/I/41gB4LgsFAL._SX300_SY300_QL70_ML2_.jpg,"Processor: High performance MediaTek G85 ; Enhance gaming with 1GHz GPU | 11GB of RAM including 5GB virtual | 6.71"" HD+ Large Display, Scratch Resistant Display with Oleophobic Coating| 50MP AI Dual camera |Fast Rear fingerprint | 5000mAh Battery | Premium Leather-like stich design | IP52 Protection",https://www.amazon.in/POCO-C55-Forest-Green-128/dp/B0BX9JS72P/ref=sr_1_19?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779270&sprefix=smartphone%2Caps%2C300&sr=8-19
"OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)",,4.2,https://m.media-amazon.com/images/I/41R9oD3K25L._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/OnePlus-Nord-Bahamas-128GB-Storage/dp/B09RG5R5FG/ref=sr_1_20?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779270&sprefix=smartphone%2Caps%2C300&sr=8-20
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",,4.0,https://m.media-amazon.com/images/I/41dEcQR7UnL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/realme-Feather-Segment-Charging-Slimmest/dp/B0C45N5VPT/ref=sr_1_21?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779270&sprefix=smartphone%2Caps%2C300&sr=8-21
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",,4.0,https://m.media-amazon.com/images/I/412bETihpNL._SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTW9MVK/ref=sr_1_22?crid=3PSD4Z9BPQ0TE&keywords=smartphones&qid=1706779270&sprefix=smartphone%2Caps%2C300&sr=8-22
